"","cell_id","group"
"abngmcjh-1","abngmcjh-1","Not-mapped"
"abnlffif-1","abnlffif-1","Late Erythroid"
"abnmapco-1","abnmapco-1","Late Myeloid"
"abnnenod-1","abnnenod-1","Not-mapped"
"abnnhjpp-1","abnnhjpp-1","RNAlo MSC"
"abnopggb-1","abnopggb-1","Not-mapped"
"abobdbpn-1","abobdbpn-1","Not-mapped"
"abocbiij-1","abocbiij-1","Osteoblast"
"abodknci-1","abodknci-1","Late Myeloid"
"abofeeel-1","abofeeel-1","Not-mapped"
"abogdong-1","abogdong-1","Not-mapped"
"abogfcma-1","abogfcma-1","Late Erythroid"
"abogjdii-1","abogjdii-1","Not-mapped"
"abokdiod-1","abokdiod-1","Not-mapped"
"abokegek-1","abokegek-1","Not-mapped"
"abokldld-1","abokldld-1","Not-mapped"
"abolbcmc-1","abolbcmc-1","Not-mapped"
"abpdppjm-1","abpdppjm-1","Not-mapped"
"abphaedo-1","abphaedo-1","RBC"
"abpidkid-1","abpidkid-1","Not-mapped"
"abpifjbe-1","abpifjbe-1","Not-mapped"
"abpilgaa-1","abpilgaa-1","Not-mapped"
"abpjacmo-1","abpjacmo-1","RBC"
"abplbomn-1","abplbomn-1","pDC"
"abplgomi-1","abplgomi-1","Not-mapped"
"abplpbdp-1","abplpbdp-1","Not-mapped"
"abpmcnlp-1","abpmcnlp-1","Not-mapped"
"abpmfcej-1","abpmfcej-1","Not-mapped"
"abpmfknh-1","abpmfknh-1","Late Myeloid"
"abpmfmgl-1","abpmfmgl-1","Late Erythroid"
"abpmlhck-1","abpmlhck-1","Not-mapped"
"abpnfpll-1","abpnfpll-1","Not-mapped"
"abpniack-1","abpniack-1","MPP"
"abpnjkgc-1","abpnjkgc-1","Not-mapped"
"abpofakj-1","abpofakj-1","Not-mapped"
"abppabfc-1","abppabfc-1","Not-mapped"
"abppepac-1","abppepac-1","Late Myeloid"
"abppgibi-1","abppgibi-1","RBC"
"acabbmlo-1","acabbmlo-1","Not-mapped"
"acabeifn-1","acabeifn-1","Late Erythroid"
"acadaioh-1","acadaioh-1","AEC"
"acadamfb-1","acadamfb-1","CD8+ T-Cell"
"acadconf-1","acadconf-1","Not-mapped"
"acaeehil-1","acaeehil-1","Not-mapped"
"acafdcoh-1","acafdcoh-1","Not-mapped"
"acafmhni-1","acafmhni-1","Not-mapped"
"acailopl-1","acailopl-1","GMP"
"acajhjdf-1","acajhjdf-1","Not-mapped"
"acajpaib-1","acajpaib-1","Not-mapped"
"acankomp-1","acankomp-1","Late Erythroid"
"acbaafkb-1","acbaafkb-1","RBC"
"acbeekec-1","acbeekec-1","Late Erythroid"
"acbeohml-1","acbeohml-1","Not-mapped"
"acbfkckf-1","acbfkckf-1","Not-mapped"
"acbfoeoh-1","acbfoeoh-1","Not-mapped"
"acbhjgff-1","acbhjgff-1","Not-mapped"
"acbjaooa-1","acbjaooa-1","CD8+ T-Cell"
"acbjjbgo-1","acbjjbgo-1","Late Erythroid"
"acbjmmmb-1","acbjmmmb-1","Not-mapped"
"acbkaage-1","acbkaage-1","Late Erythroid"
"acbmgaag-1","acbmgaag-1","Not-mapped"
"acbnngfl-1","acbnngfl-1","Early Myeloid Progenitor"
"acbodbmf-1","acbodbmf-1","CD4+ T-Cell"
"acbomgob-1","acbomgob-1","Not-mapped"
"accafhdn-1","accafhdn-1","Not-mapped"
"accaoflh-1","accaoflh-1","Not-mapped"
"accbdabb-1","accbdabb-1","Not-mapped"
"accbepmm-1","accbepmm-1","Not-mapped"
"accdnblm-1","accdnblm-1","RBC"
"accebkkg-1","accebkkg-1","Not-mapped"
"accflilo-1","accflilo-1","Late Erythroid"
"accfmjae-1","accfmjae-1","Late Erythroid"
"acchcajc-1","acchcajc-1","RBC"
"acchhppc-1","acchhppc-1","Late Erythroid"
"accimmgb-1","accimmgb-1","Late Erythroid"
"accjmdgb-1","accjmdgb-1","Late Erythroid"
"acckaapa-1","acckaapa-1","Late Erythroid"
"acclbcmp-1","acclbcmp-1","Late Erythroid"
"acclffbo-1","acclffbo-1","RBC"
"acclnkic-1","acclnkic-1","Late Erythroid"
"accnbhln-1","accnbhln-1","Late Erythroid"
"accohdeh-1","accohdeh-1","Late Erythroid"
"accpkmmi-1","accpkmmi-1","Not-mapped"
"acdbihof-1","acdbihof-1","Late Erythroid"
"acdcaoig-1","acdcaoig-1","RBC"
"acdciklf-1","acdciklf-1","Not-mapped"
"acddblig-1","acddblig-1","Not-mapped"
"acdehdpe-1","acdehdpe-1","Not-mapped"
"acdgdleh-1","acdgdleh-1","GMP"
"acdglcki-1","acdglcki-1","Late Erythroid"
"acdgppfo-1","acdgppfo-1","Not-mapped"
"acdhogah-1","acdhogah-1","Not-mapped"
"acdldedj-1","acdldedj-1","Not-mapped"
