"","cell_id","group"
"abdjihja-1","abdjihja-1","Osteoblast"
"abdjmmge-1","abdjmmge-1","Mast?"
"abdkhend-1","abdkhend-1","Uk"
"abdlocmc-1","abdlocmc-1","Uk"
"abdnonde-1","abdnonde-1","MSC/Fibroblast/Bone"
"abebpcmd-1","abebpcmd-1","Uk"
"abecbllj-1","abecbllj-1","Endothelial/vSMC/Adipocyte"
"abedhgep-1","abedhgep-1","T_NK"
"abeedlac-1","abeedlac-1","Proliferating cells"
"abeeflkm-1","abeeflkm-1","Uk"
"abeflibj-1","abeflibj-1","Uk"
"abehekjb-1","abehekjb-1","Osteoblast"
"abehfacm-1","abehfacm-1","Uk"
"abejjham-1","abejjham-1","Uk"
"abekihnd-1","abekihnd-1","Uk"
"abekimhb-1","abekimhb-1","Uk"
"abelakno-1","abelakno-1","Uk"
"abembamc-1","abembamc-1","Uk"
"abemiboh-1","abemiboh-1","Uk"
"abemlepc-1","abemlepc-1","Endothelial/vSMC/Adipocyte"
"abeocmco-1","abeocmco-1","Proliferating cells"
"abepanhi-1","abepanhi-1","Mast?"
"abepbnmc-1","abepbnmc-1","B cell"
"abephjai-1","abephjai-1","Uk"
"abfacgla-1","abfacgla-1","B cell"
"abfceiaf-1","abfceiaf-1","Uk"
"abfcogmi-1","abfcogmi-1","Mast?"
"abfebpjg-1","abfebpjg-1","Uk"
"abfefjkj-1","abfefjkj-1","Myeloid progenitors"
"abfegmlf-1","abfegmlf-1","Endothelial/vSMC/Adipocyte"
"abfeoohg-1","abfeoohg-1","Uk"
"abfgfboa-1","abfgfboa-1","Myeloid progenitors"
"abfhogmj-1","abfhogmj-1","Myeloid progenitors"
"abfjbfnh-1","abfjbfnh-1","Uk"
"abfjhhof-1","abfjhhof-1","Uk"
"abfknnhb-1","abfknnhb-1","Endothelial/vSMC/Adipocyte"
"abfllgpk-1","abfllgpk-1","Endothelial/vSMC/Adipocyte"
"abfmdkmb-1","abfmdkmb-1","Uk"
"abfnhbnf-1","abfnhbnf-1","Uk"
"abgajglp-1","abgajglp-1","MSC/Fibroblast/Bone"
"abgcnklb-1","abgcnklb-1","Osteoblast"
"abgcojkm-1","abgcojkm-1","B cell"
"abgggkkf-1","abgggkkf-1","Osteoblast"
"abghccph-1","abghccph-1","Uk"
"abghgkdg-1","abghgkdg-1","Proliferating cells"
"abgjcbdp-1","abgjcbdp-1","Osteoblast"
"abgjojpp-1","abgjojpp-1","Uk"
"abgkhapc-1","abgkhapc-1","Megakaryocyte?"
"abgkmkdk-1","abgkmkdk-1","Megakaryocyte?"
"abglagie-1","abglagie-1","Endothelial/vSMC/Adipocyte"
"abglepfn-1","abglepfn-1","Uk"
"abglfidb-1","abglfidb-1","Mast?"
"abgnklmk-1","abgnklmk-1","Uk"
"abgpijbe-1","abgpijbe-1","Endothelial/vSMC/Adipocyte"
"abgpmiab-1","abgpmiab-1","Uk"
"abhdcjjj-1","abhdcjjj-1","Proliferating cells"
"abhdlilb-1","abhdlilb-1","MSC/Fibroblast/Bone"
"abhdnacg-1","abhdnacg-1","Uk"
"abhedgck-1","abhedgck-1","Uk"
"abhfcbal-1","abhfcbal-1","Uk"
"abhfoioo-1","abhfoioo-1","Uk"
"abhhjhle-1","abhhjhle-1","Uk"
"abhigdhh-1","abhigdhh-1","B cell"
"abhijajh-1","abhijajh-1","Uk"
"abhjbmjk-1","abhjbmjk-1","Osteoblast"
"abhjfgpg-1","abhjfgpg-1","Uk"
"abhkimgk-1","abhkimgk-1","Osteoblast"
"abhlillh-1","abhlillh-1","Uk"
"abhmjhlk-1","abhmjhlk-1","Endothelial/Plasma cell/HSC?"
"abhnmcmd-1","abhnmcmd-1","Uk"
"abhnojnf-1","abhnojnf-1","Uk"
"abhoppho-1","abhoppho-1","Endothelial/vSMC/Adipocyte"
"abhpcahm-1","abhpcahm-1","Osteoblast"
"abhpihoe-1","abhpihoe-1","Uk"
"abicobha-1","abicobha-1","Osteoblast"
"abieabgc-1","abieabgc-1","Uk"
"abiedfac-1","abiedfac-1","Uk"
"abifamln-1","abifamln-1","Uk"
"abifmehc-1","abifmehc-1","Proliferating cells"
"abifmlmk-1","abifmlmk-1","Uk"
"abihomcn-1","abihomcn-1","Uk"
"abinkgko-1","abinkgko-1","Uk"
"abjamgmg-1","abjamgmg-1","Uk"
"abjbkkho-1","abjbkkho-1","MSC/Fibroblast/Bone"
"abjblhph-1","abjblhph-1","Myeloid progenitors"
"abjblmlc-1","abjblmlc-1","Endothelial/vSMC/Adipocyte"
"abjcacbe-1","abjcacbe-1","MSC/Fibroblast/Bone"
"abjccgbd-1","abjccgbd-1","Endothelial/vSMC/Adipocyte"
"abjcidpi-1","abjcidpi-1","Endothelial/Plasma cell/HSC?"
"abjddobl-1","abjddobl-1","Uk"
"abjdkhfh-1","abjdkhfh-1","Endothelial/vSMC/Adipocyte"
"abjeliaf-1","abjeliaf-1","B cell"
"abjfdgkb-1","abjfdgkb-1","Uk"
"abjfghcb-1","abjfghcb-1","Uk"
"abjhgfen-1","abjhgfen-1","Uk"
"abjhlkip-1","abjhlkip-1","Uk"
"abjjnhga-1","abjjnhga-1","Uk"
"abjjompo-1","abjjompo-1","Uk"
"abjkoege-1","abjkoege-1","Proliferating cells"
"abjnhjnh-1","abjnhjnh-1","Megakaryocyte?"
"abjojdlk-1","abjojdlk-1","Proliferating cells"
"abjonahh-1","abjonahh-1","Proliferating cells"
"abjpmjnm-1","abjpmjnm-1","Proliferating cells"
"abjpmkja-1","abjpmkja-1","Uk"
"abkamofl-1","abkamofl-1","Proliferating cells"
"abkedmdi-1","abkedmdi-1","Proliferating cells"
"abkfkjng-1","abkfkjng-1","Uk"
"abkhajep-1","abkhajep-1","Myeloid progenitors"
"abkhcjnk-1","abkhcjnk-1","Myeloid progenitors"
"abkibeab-1","abkibeab-1","Uk"
"abkilkgo-1","abkilkgo-1","Osteoblast"
"abkjaccn-1","abkjaccn-1","Proliferating cells"
"abkmeceb-1","abkmeceb-1","Uk"
"abkmihjp-1","abkmihjp-1","Uk"
"abknopnc-1","abknopnc-1","Uk"
"abkohjge-1","abkohjge-1","Proliferating cells"
"abkpdcpg-1","abkpdcpg-1","Uk"
"ablbfijp-1","ablbfijp-1","Proliferating cells"
"ablbofgg-1","ablbofgg-1","Uk"
"ablbpplg-1","ablbpplg-1","Proliferating cells"
"ablcgino-1","ablcgino-1","Uk"
"ablenkck-1","ablenkck-1","Uk"
"ablfeijc-1","ablfeijc-1","Megakaryocyte?"
"ablhacgn-1","ablhacgn-1","Uk"
"ablhepfa-1","ablhepfa-1","Uk"
"ablhhpnd-1","ablhhpnd-1","Uk"
"abljochf-1","abljochf-1","Uk"
"ablmmmbb-1","ablmmmbb-1","Uk"
"ablnbpmh-1","ablnbpmh-1","Uk"
"abmbgdbi-1","abmbgdbi-1","Megakaryocyte?"
"abmdjdpk-1","abmdjdpk-1","Uk"
"abmiaejd-1","abmiaejd-1","Megakaryocyte?"
"abmilhoo-1","abmilhoo-1","Megakaryocyte?"
"abmjlgfa-1","abmjlgfa-1","Megakaryocyte?"
"abmkboag-1","abmkboag-1","Uk"
"abmkhngo-1","abmkhngo-1","Uk"
"abmlacmf-1","abmlacmf-1","Megakaryocyte?"
"abmljcpf-1","abmljcpf-1","Endothelial/Plasma cell/HSC?"
"abmlobee-1","abmlobee-1","Endothelial/Plasma cell/HSC?"
"abmmphld-1","abmmphld-1","Mast?"
"abmnfpoe-1","abmnfpoe-1","MSC/Fibroblast/Bone"
"abmoglfa-1","abmoglfa-1","Uk"
"abmokdhe-1","abmokdhe-1","Uk"
"abmomnod-1","abmomnod-1","Uk"
"abnabmep-1","abnabmep-1","Uk"
"abnbfllo-1","abnbfllo-1","Uk"
"abnbjjpl-1","abnbjjpl-1","Uk"
"abnbndbj-1","abnbndbj-1","MSC/Fibroblast/Bone"
"abncbhdf-1","abncbhdf-1","MSC/Fibroblast/Bone"
"abnckimn-1","abnckimn-1","Uk"
"abncnbeo-1","abncnbeo-1","Uk"
"abneofmf-1","abneofmf-1","Uk"
"abnfidfb-1","abnfidfb-1","Megakaryocyte?"
"abnfmjnk-1","abnfmjnk-1","Uk"
"abngbhpg-1","abngbhpg-1","Mast?"
"abnggfhp-1","abnggfhp-1","Uk"
"abnhfkdh-1","abnhfkdh-1","Uk"
"abnjnbkn-1","abnjnbkn-1","Uk"
"abnkleea-1","abnkleea-1","Uk"
"abnmlhpo-1","abnmlhpo-1","Uk"
"abnngmob-1","abnngmob-1","MSC/Fibroblast/Bone"
"abnngngf-1","abnngngf-1","MSC/Fibroblast/Bone"
"abnnipep-1","abnnipep-1","Uk"
"abnnjcoi-1","abnnjcoi-1","T_NK"
"abnnkpkc-1","abnnkpkc-1","Proliferating cells"
