"","cell_id","group"
"abefjnmh-1","abefjnmh-1","Fibro"
"abegnebf-1","abegnebf-1","Unk"
"abejedff-1","abejedff-1","Adipo"
"abejhcgb-1","abejhcgb-1","LEPRhi_MSC"
"abejnmoo-1","abejnmoo-1","Ery"
"abemkgma-1","abemkgma-1","Mono_MP"
"abenncmk-1","abenncmk-1","Adipo"
"abeokffh-1","abeokffh-1","Osteoclast"
"abeopgke-1","abeopgke-1","LEPRhi_MSC"
"abepcifn-1","abepcifn-1","Endo_1"
"abepfocl-1","abepfocl-1","Fibro"
"abepgeom-1","abepgeom-1","Unk"
"abepplcb-1","abepplcb-1","Ery"
"abfbmjfo-1","abfbmjfo-1","Unk"
"abfcdkff-1","abfcdkff-1","Ery"
"abfcpkcl-1","abfcpkcl-1","Unk"
"abfffbjm-1","abfffbjm-1","B"
"abfgdken-1","abfgdken-1","Adipo"
"abfgfgei-1","abfgfgei-1","Unk"
"abfjajoi-1","abfjajoi-1","Unk"
"abfkeeel-1","abfkeeel-1","Ery"
"abfknbag-1","abfknbag-1","LEPRhi_MSC"
"abfldacl-1","abfldacl-1","Unk"
"abflgcmi-1","abflgcmi-1","Ery"
"abflhmop-1","abflhmop-1","Unk"
"abflohdc-1","abflohdc-1","Fibro"
"abfmdknk-1","abfmdknk-1","Granulo"
"abfmhcpi-1","abfmhcpi-1","LEPRhi_MSC"
"abfmnfmg-1","abfmnfmg-1","LEPRhi_MSC"
"abfnfobb-1","abfnfobb-1","Unk"
"abfnoicd-1","abfnoicd-1","LEPRhi_MSC"
"abgbhimb-1","abgbhimb-1","LEPRhi_MSC"
"abgbnolj-1","abgbnolj-1","Unk"
"abgcgghj-1","abgcgghj-1","Unk"
"abgdjkhb-1","abgdjkhb-1","Mono_MP"
"abgfbjkk-1","abgfbjkk-1","PC"
"abgfgdfc-1","abgfgdfc-1","Unk"
"abgfjjgg-1","abgfjjgg-1","Unk"
"abgicdib-1","abgicdib-1","Fibro"
"abgljdfe-1","abgljdfe-1","LEPRhi_MSC"
"abgmcckb-1","abgmcckb-1","T_NK"
"abgmcklh-1","abgmcklh-1","Osteoclast"
"abgmnalo-1","abgmnalo-1","Unk"
"abgmobje-1","abgmobje-1","Unk"
"abgnehij-1","abgnehij-1","Unk"
"abgopaai-1","abgopaai-1","Unk"
"abgponnf-1","abgponnf-1","Fibro"
"abhbfpmo-1","abhbfpmo-1","Granulo"
"abhdnbji-1","abhdnbji-1","PC"
"abhfchpc-1","abhfchpc-1","Unk"
"abhgfapp-1","abhgfapp-1","Ery"
"abhgmhdn-1","abhgmhdn-1","Endo_1"
"abhhldck-1","abhhldck-1","Unk"
"abhmdbim-1","abhmdbim-1","T_NK"
"abhmefbh-1","abhmefbh-1","B"
"abhndlmd-1","abhndlmd-1","Osteoclast"
"abhonilg-1","abhonilg-1","Unk"
"abhplbhi-1","abhplbhi-1","Unk"
