cell_id,group
acljhmak-1,Monocyte
aclkfeno-1,Monocyte
aclkmjlk-1,CD8+ T-Cell
aclkpeme-1,Osteo-MSC
acllgcla-1,Neutrophil
aclmcbpf-1,RBC
aclmgnik-1,CD8+ T-Cell
aclndefh-1,Neutrophil
aclndpih-1,RBC
aclngepm-1,Cycling HSPC
acloaoec-1,Late Erythroid
aclocdfc-1,MEP
aclokdgg-1,pDC
aclolmhi-1,GMP
aclopkib-1,GMP
acmbkofn-1,GMP
acmcakhb-1,Fibro-MSC
acmdinjd-1,GMP
acmegbmm-1,GMP
acmekioi-1,RBC
acmflooe-1,Late Myeloid
acmgbcpk-1,Neutrophil
acmiglcj-1,Late Myeloid
acmihmdf-1,Adipo-MSC
acmjidef-1,RBC
acmjklid-1,Plasma Cell
acmkkgbg-1,Osteo-MSC
acmlknbj-1,Early Myeloid Progenitor
acmllplk-1,RBC
acmobnbi-1,Plasma Cell
acmogeac-1,Monocyte
acmpojnj-1,RBC
acnadacp-1,Ba/Eo/Ma
acncahaj-1,Neutrophil
acncbdka-1,Adipo-MSC
acnccaie-1,Fibro-MSC
acncjdoi-1,Pre-B
acndbpdk-1,pDC
acnfhgba-1,GMP
acnfnjhn-1,THY1+ MSC
acngbnel-1,Neutrophil
acnhcgel-1,Fibro-MSC
acnhkjmb-1,Pro-B
acnihdpa-1,Plasma Cell
acnijebd-1,CLP
acnjljdk-1,APOD+ MSC
acnkhfbp-1,GMP
acnkjngk-1,CLP
acnledig-1,Neutrophil
acnnbbee-1,GMP
acnpcnhj-1,Late Myeloid
acnpdeli-1,Late Myeloid
acnpknli-1,THY1+ MSC
acodgflp-1,Monocyte
acohbblm-1,Neutrophil
acoicgnc-1,Neutrophil
acojkkji-1,CLP
acolgioj-1,Fibro-MSC
acomhdpg-1,MEP
acomnpbl-1,Mature B
aconappl-1,Ba/Eo/Ma
acoopieb-1,Late Myeloid
acpbjhei-1,Late Erythroid
acpcmlll-1,RBC
acpfpfmm-1,Cycling HSPC
acpgfogo-1,Pre-Pro B
acphfpgo-1,RBC
acphjlmj-1,Pro-B
acpjgikp-1,CD4+ T-Cell
acpjhnnp-1,Late Myeloid
acpjlfha-1,MEP
acpkpeci-1,CD4+ T-Cell
acpobmhi-1,Fibro-MSC
acpomffc-1,Fibro-MSC
adabaddn-1,Mature B
adabcjjn-1,Fibro-MSC
adabelni-1,Osteoblast
adacjhdi-1,GMP
adadhenl-1,Fibro-MSC
adaefhed-1,Ba/Eo/Ma
adagldfo-1,Plasma Cell
adagnhck-1,pDC
adagodin-1,Neutrophil
adajjfaj-1,Plasma Cell
adaklnkl-1,Cycling HSPC
adakolpo-1,RBC
adakpkdk-1,RBC
adamepdm-1,Early Myeloid Progenitor
adamimmi-1,Early Myeloid Progenitor
adamokoh-1,pDC
adanjkaf-1,Neutrophil
adaojcog-1,GMP
adbabkjk-1,Monocyte
adbccjke-1,CD4+ T-Cell
adbcgflo-1,Fibro-MSC
adbcifnb-1,GMP
adbechcp-1,Fibro-MSC
adbfpilf-1,RBC
adbgjhbp-1,CLP
adbgpbdn-1,MEP
adbhfhbl-1,RBC
adbhngci-1,Pre-Pro B
adbhpenj-1,THY1+ MSC
adbicabi-1,MEP
adbigjib-1,VSMC
adbkafge-1,Pre-Pro B
adbmdbgl-1,GMP
adbmknma-1,APOD+ MSC
adbnjffb-1,MEP
adbnkebo-1,GMP
adbofpbg-1,THY1+ MSC
adcbnped-1,Late Myeloid
adcdapnc-1,GMP
adcehdjj-1,RBC
adcgnllk-1,Ba/Eo/Ma
adcifggl-1,Osteoblast
adclcnog-1,Fibro-MSC
addafcgn-1,Pre-B
adddabkj-1,RBC
addfphpf-1,GMP
addghdad-1,Cycling HSPC
addhoefd-1,Late Myeloid
addignio-1,Adipo-MSC
addijgga-1,MEP
addjicmo-1,Plasma Cell
addlcejf-1,CD8+ T-Cell
addohghn-1,APOD+ MSC
addplbke-1,Late Myeloid
adeegacb-1,Early Myeloid Progenitor
adeenkgh-1,Monocyte
adeflncl-1,GMP
adegmoin-1,RBC
adeheeoh-1,Early Myeloid Progenitor
adejdfkf-1,Pro-B
adejgkmf-1,RBC
adejjgkj-1,Pre-B
adejjhbl-1,SEC
adejkoan-1,Pro-B
adejmacc-1,SEC
adekgjbn-1,Monocyte
adeklmnm-1,THY1+ MSC
ademehok-1,Late Myeloid
ademolll-1,MEP
adempnbl-1,THY1+ MSC
adeoapbf-1,CLP
adeopdko-1,Pro-B
adephabm-1,Osteoblast
adepjhcg-1,GMP
adepneia-1,Osteo-MSC
adfcjnel-1,Early Myeloid Progenitor
adfdacho-1,MEP
adfdjboa-1,GMP
adfdkkne-1,Ba/Eo/Ma
adfdlnmc-1,RBC
adfdmofp-1,Late Erythroid
adffjhhj-1,Late Myeloid
adffolok-1,RBC
adfgihad-1,RBC
adfhcdai-1,Late Myeloid
adfhlbmo-1,RBC
adfjbblo-1,RBC
adfjpioo-1,CD8+ T-Cell
adfkiopb-1,Late Myeloid
adfneljb-1,Fibro-MSC
adfnkali-1,Pro-B
adfnkcnb-1,Pro-B
adfnmnlb-1,GMP
