"","cell_id","group"
"abcdjcif-1","abcdjcif-1","Early Myeloid Progenitor"
"abceaogj-1","abceaogj-1","AEC"
"abchgmbc-1","abchgmbc-1","Late Erythroid"
"abciajmm-1","abciajmm-1","Late Erythroid"
"abcjchhn-1","abcjchhn-1","Late Erythroid"
"abcjfjei-1","abcjfjei-1","Late Erythroid"
"abclhipc-1","abclhipc-1","Late Erythroid"
"abcmeemf-1","abcmeemf-1","RBC"
"abcodaik-1","abcodaik-1","GMP"
"abcpdknp-1","abcpdknp-1","SEC"
"abcpnelk-1","abcpnelk-1","CD8+ T-Cell"
"abdbdjaf-1","abdbdjaf-1","Pro-B"
"abdcgfcl-1","abdcgfcl-1","Pro-B"
"abdeaodp-1","abdeaodp-1","Plasma Cell"
"abdecfko-1","abdecfko-1","Plasma Cell"
"abdffdji-1","abdffdji-1","Pro-B"
"abdgajao-1","abdgajao-1","Plasma Cell"
"abdglkki-1","abdglkki-1","Mature B"
"abdjbijd-1","abdjbijd-1","Osteo-MSC"
"abdjihja-1","abdjihja-1","GMP"
"abdjmmge-1","abdjmmge-1","Early Myeloid Progenitor"
"abdkhend-1","abdkhend-1","Early Myeloid Progenitor"
"abdlocmc-1","abdlocmc-1","Early Myeloid Progenitor"
"abdnonde-1","abdnonde-1","Adipo-MSC"
"abebpcmd-1","abebpcmd-1","GMP"
"abecbllj-1","abecbllj-1","GMP"
"abedhgep-1","abedhgep-1","Late Erythroid"
"abeedlac-1","abeedlac-1","Late Erythroid"
"abeeflkm-1","abeeflkm-1","Early Myeloid Progenitor"
"abeflibj-1","abeflibj-1","Early Myeloid Progenitor"
"abehekjb-1","abehekjb-1","GMP"
"abehfacm-1","abehfacm-1","Macrophages"
"abejjham-1","abejjham-1","MPP"
"abekihnd-1","abekihnd-1","Monocyte"
"abekimhb-1","abekimhb-1","Late Myeloid"
"abelakno-1","abelakno-1","Early Myeloid Progenitor"
"abembamc-1","abembamc-1","Late Myeloid"
"abemiboh-1","abemiboh-1","Early Myeloid Progenitor"
"abemlepc-1","abemlepc-1","Adipo-MSC"
"abeocmco-1","abeocmco-1","Late Erythroid"
"abepanhi-1","abepanhi-1","Ba/Eo/Ma"
"abepbnmc-1","abepbnmc-1","Mature B"
"abephjai-1","abephjai-1","GMP"
"abfacgla-1","abfacgla-1","Pre-B"
"abfceiaf-1","abfceiaf-1","Early Myeloid Progenitor"
"abfcogmi-1","abfcogmi-1","Ba/Eo/Ma"
"abfebpjg-1","abfebpjg-1","Early Myeloid Progenitor"
"abfefjkj-1","abfefjkj-1","Monocyte"
"abfegmlf-1","abfegmlf-1","MPP"
"abfeoohg-1","abfeoohg-1","Late Erythroid"
"abfgfboa-1","abfgfboa-1","Late Erythroid"
"abfhogmj-1","abfhogmj-1","Ba/Eo/Ma"
