"","cell_id","group"
"abeifdfp-1","abeifdfp-1","Not-mapped"
"abejmcmn-1","abejmcmn-1","Plasma Cell"
"abellnno-1","abellnno-1","GMP"
"abelmife-1","abelmife-1","Not-mapped"
"abelpflf-1","abelpflf-1","Early Myeloid Progenitor"
"abemiegd-1","abemiegd-1","Not-mapped"
"abenbkaa-1","abenbkaa-1","Not-mapped"
"abenjloi-1","abenjloi-1","Not-mapped"
"abeokenb-1","abeokenb-1","Not-mapped"
"abepkmnf-1","abepkmnf-1","Not-mapped"
"abeppjbb-1","abeppjbb-1","Ba/Eo/Ma"
"abfbhpem-1","abfbhpem-1","Not-mapped"
"abfcfkmi-1","abfcfkmi-1","Not-mapped"
"abffpabb-1","abffpabb-1","CD4+ T-Cell"
"abfgkhhf-1","abfgkhhf-1","AEC"
"abfgloac-1","abfgloac-1","Mature B"
"abfkhabf-1","abfkhabf-1","Not-mapped"
"abfkonke-1","abfkonke-1","Early Myeloid Progenitor"
"abfmmapo-1","abfmmapo-1","Not-mapped"
"abfnogkk-1","abfnogkk-1","Not-mapped"
"abgckfpe-1","abgckfpe-1","Not-mapped"
"abgecoci-1","abgecoci-1","Late Erythroid"
"abgemlic-1","abgemlic-1","Mature B"
"abggloij-1","abggloij-1","Not-mapped"
"abgiafji-1","abgiafji-1","AEC"
"abgjkoag-1","abgjkoag-1","pDC"
"abgnoael-1","abgnoael-1","Monocyte"
"abgnpbab-1","abgnpbab-1","Late Erythroid"
"abhbafcc-1","abhbafcc-1","Not-mapped"
"abhbhlea-1","abhbhlea-1","Not-mapped"
"abhbhpno-1","abhbhpno-1","Not-mapped"
"abhcfgdl-1","abhcfgdl-1","Not-mapped"
"abhecimc-1","abhecimc-1","Not-mapped"
"abhegbhj-1","abhegbhj-1","Not-mapped"
"abheikbg-1","abheikbg-1","Late Erythroid"
"abhhdfnj-1","abhhdfnj-1","Not-mapped"
"abhjeecp-1","abhjeecp-1","Not-mapped"
"abhkfgmp-1","abhkfgmp-1","Not-mapped"
"abhloeig-1","abhloeig-1","Not-mapped"
"abhnfpgf-1","abhnfpgf-1","Not-mapped"
"abhonfbg-1","abhonfbg-1","Not-mapped"
"abhpcamg-1","abhpcamg-1","Monocyte"
"abhplcab-1","abhplcab-1","Not-mapped"
"abiddplc-1","abiddplc-1","Late Erythroid"
"abiecjmk-1","abiecjmk-1","Plasma Cell"
"abiecoob-1","abiecoob-1","Plasma Cell"
"abifffcp-1","abifffcp-1","Not-mapped"
"abihgfhc-1","abihgfhc-1","Osteoblast"
"abiidhao-1","abiidhao-1","Late Erythroid"
"abiieblk-1","abiieblk-1","AEC"
"abijddaj-1","abijddaj-1","Not-mapped"
"abikigpi-1","abikigpi-1","Not-mapped"
"abinnlio-1","abinnlio-1","Not-mapped"
"abiojkjd-1","abiojkjd-1","Not-mapped"
"abipcack-1","abipcack-1","Monocyte"
"abjaigkj-1","abjaigkj-1","Not-mapped"
"abjainpo-1","abjainpo-1","Not-mapped"
"abjdjldn-1","abjdjldn-1","GMP"
"abjdkmog-1","abjdkmog-1","Macrophages"
