"","cell_id","group"
"alpeghkd-1","alpeghkd-1","VSMC"
"alphoabp-1","alphoabp-1","VSMC"
"alpjjkjb-1","alpjjkjb-1","VSMC"
"alpphlpf-1","alpphlpf-1","VSMC"
"amaahmko-1","amaahmko-1","AEC"
"amacgkgp-1","amacgkgp-1","VSMC"
"amacilep-1","amacilep-1","Monocyte"
"amahjbom-1","amahjbom-1","VSMC"
"amaifeep-1","amaifeep-1","Late Myeloid"
"amaihhck-1","amaihhck-1","AEC"
"amajjddf-1","amajjddf-1","VSMC"
"amakmnji-1","amakmnji-1","VSMC"
"ambpkime-1","ambpkime-1","APOD+ MSC"
"amcjllmg-1","amcjllmg-1","AEC"
"amckpaia-1","amckpaia-1","Fibro-MSC"
"amcmabga-1","amcmabga-1","VSMC"
"amcoadek-1","amcoadek-1","Fibro-MSC"
"amdabdke-1","amdabdke-1","APOD+ MSC"
"amdagjkd-1","amdagjkd-1","APOD+ MSC"
"amdhajie-1","amdhajie-1","APOD+ MSC"
"amdhfmoj-1","amdhfmoj-1","APOD+ MSC"
"amdjpmci-1","amdjpmci-1","APOD+ MSC"
"amdkmdgc-1","amdkmdgc-1","Fibro-MSC"
"ameeioei-1","ameeioei-1","APOD+ MSC"
"amekfjeb-1","amekfjeb-1","Adipo-MSC"
"amfagpha-1","amfagpha-1","APOD+ MSC"
"amfplcbd-1","amfplcbd-1","APOD+ MSC"
"amgdcilo-1","amgdcilo-1","APOD+ MSC"
"amgiehlj-1","amgiehlj-1","APOD+ MSC"
"amgpbcbe-1","amgpbcbe-1","AEC"
"amgpfobc-1","amgpfobc-1","APOD+ MSC"
"amhnlpeo-1","amhnlpeo-1","APOD+ MSC"
"amibhici-1","amibhici-1","Pro-B"
"amimbfmo-1","amimbfmo-1","APOD+ MSC"
"amipedol-1","amipedol-1","AEC"
"amjplgae-1","amjplgae-1","AEC"
"amkgljdg-1","amkgljdg-1","Fibro-MSC"
"amkilokf-1","amkilokf-1","APOD+ MSC"
"amldjnpm-1","amldjnpm-1","APOD+ MSC"
"amlimfig-1","amlimfig-1","Osteo-MSC"
"ammfmmgo-1","ammfmmgo-1","APOD+ MSC"
"ammiaafa-1","ammiaafa-1","THY1+ MSC"
"amnjifio-1","amnjifio-1","APOD+ MSC"
"amoabpea-1","amoabpea-1","APOD+ MSC"
"amohhnge-1","amohhnge-1","APOD+ MSC"
"amomadia-1","amomadia-1","Fibro-MSC"
"ampbfcfo-1","ampbfcfo-1","APOD+ MSC"
"ampijnhm-1","ampijnhm-1","RNAlo MSC"
"ampneple-1","ampneple-1","AEC"
