"","cell_id","group"
"aapcfead-1","aapcfead-1","Late Erythroid"
"aapedkfc-1","aapedkfc-1","Not-mapped"
"aapgodjc-1","aapgodjc-1","Late Erythroid"
"aaphafmn-1","aaphafmn-1","Late Erythroid"
"aapkmnjo-1","aapkmnjo-1","Not-mapped"
"aapknolg-1","aapknolg-1","Late Erythroid"
"aapldojl-1","aapldojl-1","Late Erythroid"
"aapljehf-1","aapljehf-1","Late Erythroid"
"aaplmabc-1","aaplmabc-1","Late Erythroid"
"aapnakgo-1","aapnakgo-1","Late Erythroid"
"aapoigah-1","aapoigah-1","Not-mapped"
"aappmpcp-1","aappmpcp-1","Osteoblast"
"abaaadpc-1","abaaadpc-1","Osteoblast"
"abaakjjp-1","abaakjjp-1","Not-mapped"
"abaalona-1","abaalona-1","Not-mapped"
"ababende-1","ababende-1","GMP"
"abaeddeo-1","abaeddeo-1","Not-mapped"
"abaeffcn-1","abaeffcn-1","Late Erythroid"
"abaehiia-1","abaehiia-1","Late Erythroid"
"abaeolpg-1","abaeolpg-1","Not-mapped"
"abafloih-1","abafloih-1","Osteoblast"
"abageapb-1","abageapb-1","Late Erythroid"
"abaihedd-1","abaihedd-1","Late Erythroid"
"abajfnoa-1","abajfnoa-1","Not-mapped"
"abajnfdh-1","abajnfdh-1","Not-mapped"
"abajnpjd-1","abajnpjd-1","Late Erythroid"
"abakhgmk-1","abakhgmk-1","GMP"
"abalaffp-1","abalaffp-1","Not-mapped"
"abamgadj-1","abamgadj-1","GMP"
"abaoddnm-1","abaoddnm-1","Osteoblast"
"abbbeoid-1","abbbeoid-1","Not-mapped"
"abbddmbp-1","abbddmbp-1","Late Erythroid"
"abbdhmco-1","abbdhmco-1","Not-mapped"
"abbigenb-1","abbigenb-1","GMP"
"abbihmon-1","abbihmon-1","Not-mapped"
"abbincfk-1","abbincfk-1","Late Erythroid"
"abbkjmeb-1","abbkjmeb-1","Late Erythroid"
"abbmgana-1","abbmgana-1","Late Erythroid"
"abbnmjkg-1","abbnmjkg-1","Late Erythroid"
"abbpchbe-1","abbpchbe-1","Late Erythroid"
