"","cell_id","group"
"aanciodh-1","aanciodh-1","SPP1+ Osteoblast"
"aandefje-1","aandefje-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"aandgelp-1","aandgelp-1","Uk"
"aanecopc-1","aanecopc-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"aanenbna-1","aanenbna-1","PDGFRA/B+ MSC/Bone"
"aanfmpmg-1","aanfmpmg-1","Uk"
"aangceeg-1","aangceeg-1","CD74+ Uk"
"aangcmna-1","aangcmna-1","ITGAM+ ELANE_low Neutrophil"
"aanhefff-1","aanhefff-1","SPP1+ Osteoblast"
"aanhoche-1","aanhoche-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"aanjijle-1","aanjijle-1","PDGFRA/B+ MSC/Bone"
"aanjkhfl-1","aanjkhfl-1","PDGFRA/B+ MSC/Bone"
"aankpblc-1","aankpblc-1","SPP1+ Osteoblast"
"aanlbbmf-1","aanlbbmf-1","Uk"
"aanlbckc-1","aanlbckc-1","SPP1+ Osteoblast"
"aanlmhbg-1","aanlmhbg-1","MKI67+ Erythroblast"
"aannadej-1","aannadej-1","MKI67+ Erythroblast"
"aannledf-1","aannledf-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"aanoilop-1","aanoilop-1","CD74+ Uk"
"aanplnlh-1","aanplnlh-1","ITGAM+ ELANE_low Neutrophil"
"aaoagjlb-1","aaoagjlb-1","CD74+ Uk"
"aaoaicmg-1","aaoaicmg-1","MKI67+ Erythroblast"
"aaocpbfk-1","aaocpbfk-1","MKI67+ Erythroblast"
"aaodjiba-1","aaodjiba-1","PECAM1+ Endothelial/Plasma cell/HSC?/B cell"
"aaodpfpk-1","aaodpfpk-1","CTSK+ osteoclast?"
"aaoeanhd-1","aaoeanhd-1","ITGAM+ ELANE_low Neutrophil"
"aaoejekm-1","aaoejekm-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"aaoekomn-1","aaoekomn-1","MKI67+ Erythroblast"
"aaoenkmg-1","aaoenkmg-1","MKI67+ Erythroblast"
"aaofbfom-1","aaofbfom-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"aaofbjcd-1","aaofbjcd-1","MKI67+ Erythroblast"
"aaofmakb-1","aaofmakb-1","MKI67+ Erythroblast"
"aaofmeni-1","aaofmeni-1","MKI67+ Erythroblast"
"aaogdafh-1","aaogdafh-1","MKI67+ Erythroblast"
"aaohjbcf-1","aaohjbcf-1","MKI67+ Erythroblast"
"aaoklkdh-1","aaoklkdh-1","ITGAM+ Uk"
"aaoklkgp-1","aaoklkgp-1","MKI67+ Erythroblast"
"aaomodof-1","aaomodof-1","ITGAM+ Uk"
"aaonfkan-1","aaonfkan-1","MKI67+ Erythroblast"
"aaooldbh-1","aaooldbh-1","T_NK"
"aaopbeke-1","aaopbeke-1","MKI67+ Erythroblast"
"aapabjol-1","aapabjol-1","CD74+ Uk"
"aapbagpn-1","aapbagpn-1","MKI67+ Erythroblast"
"aapbdecb-1","aapbdecb-1","MKI67+ Erythroblast"
"aapbphlo-1","aapbphlo-1","MKI67+ Erythroblast"
"aapcaono-1","aapcaono-1","CD74+ Myeloid/immune progenitors/Monocyte/Macrophage"
"aapcfead-1","aapcfead-1","CTSK+ osteoclast?"
"aapedkfc-1","aapedkfc-1","ITGAM+ ELANE_low Neutrophil"
"aapgodjc-1","aapgodjc-1","MKI67+ Erythroblast"
"aaphafmn-1","aaphafmn-1","MKI67+ Erythroblast"
"aapkmnjo-1","aapkmnjo-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"aapknolg-1","aapknolg-1","MKI67+ Erythroblast"
"aapldojl-1","aapldojl-1","MKI67+ Erythroblast"
"aapljehf-1","aapljehf-1","MKI67+ Erythroblast"
"aaplmabc-1","aaplmabc-1","MKI67+ Erythroblast"
"aapnakgo-1","aapnakgo-1","DNTT+ Uk"
"aapoigah-1","aapoigah-1","SPP1+ Osteoblast"
