"","cell_id","group"
"abdlaknd-1","abdlaknd-1","Not-mapped"
"abdmdfdj-1","abdmdfdj-1","Plasma Cell"
"abeedhkj-1","abeedhkj-1","Plasma Cell"
"abefbbdo-1","abefbbdo-1","Not-mapped"
"abefnlli-1","abefnlli-1","Plasma Cell"
"abehhoeb-1","abehhoeb-1","Not-mapped"
"abejbccn-1","abejbccn-1","Not-mapped"
"abejjfnk-1","abejjfnk-1","Plasma Cell"
"abelljpc-1","abelljpc-1","Not-mapped"
"abemkopm-1","abemkopm-1","Not-mapped"
"abencoeg-1","abencoeg-1","Not-mapped"
"abenlhcj-1","abenlhcj-1","Pro-B"
"abepbbjb-1","abepbbjb-1","Not-mapped"
"abepbiob-1","abepbiob-1","Plasma Cell"
"abfanjjn-1","abfanjjn-1","Not-mapped"
"abfanoce-1","abfanoce-1","Pro-B"
"abfcgffg-1","abfcgffg-1","Plasma Cell"
"abfcnfll-1","abfcnfll-1","Early Myeloid Progenitor"
"abfcoklg-1","abfcoklg-1","Early Myeloid Progenitor"
"abfekbcb-1","abfekbcb-1","VSMC"
"abffmnkl-1","abffmnkl-1","VSMC"
"abfgegpe-1","abfgegpe-1","VSMC"
"abfjokcc-1","abfjokcc-1","AEC"
"abfkhigf-1","abfkhigf-1","VSMC"
"abfmbdfj-1","abfmbdfj-1","Not-mapped"
"abfmilhh-1","abfmilhh-1","Not-mapped"
"abfoaahg-1","abfoaahg-1","RNAlo MSC"
"abfoipij-1","abfoipij-1","GMP"
"abgapene-1","abgapene-1","Not-mapped"
"abgcbmji-1","abgcbmji-1","Not-mapped"
"abgcflbi-1","abgcflbi-1","RNAlo MSC"
"abgdccaf-1","abgdccaf-1","Not-mapped"
"abgefppd-1","abgefppd-1","Plasma Cell"
"abgigdnn-1","abgigdnn-1","Early Myeloid Progenitor"
"abgkenne-1","abgkenne-1","Plasma Cell"
"abgklidd-1","abgklidd-1","Not-mapped"
"abgpbpnh-1","abgpbpnh-1","APOD+ MSC"
"abgplhfo-1","abgplhfo-1","Not-mapped"
"abhapaka-1","abhapaka-1","Not-mapped"
"abhbbbah-1","abhbbbah-1","Not-mapped"
"abhcebpk-1","abhcebpk-1","Early Myeloid Progenitor"
"abhdofho-1","abhdofho-1","Early Myeloid Progenitor"
"abhedhge-1","abhedhge-1","Plasma Cell"
"abhiajip-1","abhiajip-1","Macrophages"
"abhkajae-1","abhkajae-1","Plasma Cell"
"abhkcfno-1","abhkcfno-1","Not-mapped"
"abhnjpak-1","abhnjpak-1","Plasma Cell"
"abhpogel-1","abhpogel-1","Plasma Cell"
"abiamijh-1","abiamijh-1","Not-mapped"
"abibkjin-1","abibkjin-1","Not-mapped"
"abifldbi-1","abifldbi-1","Early Myeloid Progenitor"
"abihffep-1","abihffep-1","RNAlo MSC"
"abijiegn-1","abijiegn-1","Early Myeloid Progenitor"
"abikcenc-1","abikcenc-1","Early Myeloid Progenitor"
"abilimbg-1","abilimbg-1","AEC"
"abimbkcc-1","abimbkcc-1","Not-mapped"
"abiofkgp-1","abiofkgp-1","VSMC"
"abipnici-1","abipnici-1","Not-mapped"
"abjenilm-1","abjenilm-1","Not-mapped"
"abjffpic-1","abjffpic-1","Not-mapped"
"abjfmdog-1","abjfmdog-1","Not-mapped"
"abjhagmm-1","abjhagmm-1","pDC"
"abjhgjfp-1","abjhgjfp-1","Not-mapped"
"abjhlfhh-1","abjhlfhh-1","Plasma Cell"
"abjioiai-1","abjioiai-1","Plasma Cell"
"abjkccpo-1","abjkccpo-1","CD8+ T-Cell"
"abjlgjpb-1","abjlgjpb-1","Not-mapped"
"abjmbika-1","abjmbika-1","Not-mapped"
"abjmkfge-1","abjmkfge-1","Not-mapped"
"abjnjdoc-1","abjnjdoc-1","Not-mapped"
"abjnpkfi-1","abjnpkfi-1","Monocyte"
"abjoepde-1","abjoepde-1","Not-mapped"
"abkchblc-1","abkchblc-1","Plasma Cell"
"abkcjioe-1","abkcjioe-1","Early Myeloid Progenitor"
"abkdehmp-1","abkdehmp-1","Not-mapped"
"abkegelb-1","abkegelb-1","Not-mapped"
"abkfdcme-1","abkfdcme-1","AEC"
"abkfpopk-1","abkfpopk-1","Plasma Cell"
"abkllbjl-1","abkllbjl-1","Not-mapped"
"abkojhpg-1","abkojhpg-1","Not-mapped"
"abldpnlc-1","abldpnlc-1","AEC"
"ablfloje-1","ablfloje-1","Not-mapped"
"ablhdjdm-1","ablhdjdm-1","Not-mapped"
"abljikaf-1","abljikaf-1","Not-mapped"
"ablkgcpm-1","ablkgcpm-1","SEC"
"ablkoglo-1","ablkoglo-1","Not-mapped"
"ablmnbal-1","ablmnbal-1","RNAlo MSC"
"ablnfieg-1","ablnfieg-1","Not-mapped"
"abloafoa-1","abloafoa-1","Not-mapped"
"ablonmee-1","ablonmee-1","AEC"
"abmaoapo-1","abmaoapo-1","Not-mapped"
"abmbldch-1","abmbldch-1","CD8+ T-Cell"
"abmciake-1","abmciake-1","Not-mapped"
"abmdlbmp-1","abmdlbmp-1","RNAlo MSC"
"abmeinla-1","abmeinla-1","RNAlo MSC"
"abmgegef-1","abmgegef-1","Osteo-MSC"
"abmgiban-1","abmgiban-1","Early Myeloid Progenitor"
"abmhkkii-1","abmhkkii-1","Plasma Cell"
"abmjccnk-1","abmjccnk-1","Not-mapped"
"abmjmfnf-1","abmjmfnf-1","Not-mapped"
"abmmggeb-1","abmmggeb-1","pDC"
"abmohkdb-1","abmohkdb-1","Not-mapped"
"abmokdnb-1","abmokdnb-1","AEC"
"abmpebok-1","abmpebok-1","Not-mapped"
"abmpjcnf-1","abmpjcnf-1","SEC"
"abnaahnb-1","abnaahnb-1","AEC"
"abnafbeh-1","abnafbeh-1","SEC"
"abnbbikn-1","abnbbikn-1","Plasma Cell"
"abnblppj-1","abnblppj-1","Plasma Cell"
"abndcgdi-1","abndcgdi-1","Not-mapped"
"abndehdd-1","abndehdd-1","Plasma Cell"
"abnfffii-1","abnfffii-1","Plasma Cell"
"abniongm-1","abniongm-1","Not-mapped"
"abnjfncb-1","abnjfncb-1","Not-mapped"
"abnlfbgm-1","abnlfbgm-1","Not-mapped"
"abnloafh-1","abnloafh-1","Not-mapped"
"abnlohjh-1","abnlohjh-1","Not-mapped"
"abnmljbb-1","abnmljbb-1","Not-mapped"
"abnncfne-1","abnncfne-1","Not-mapped"
"abnndlno-1","abnndlno-1","Plasma Cell"
"abnnggea-1","abnnggea-1","Not-mapped"
"abnplmlk-1","abnplmlk-1","Not-mapped"
"abobcajb-1","abobcajb-1","Not-mapped"
"abodkhgd-1","abodkhgd-1","Pro-B"
