cell_id,group
acncjdoi-1,Osteo-MSC
acndbpdk-1,pDC
acnfhgba-1,GMP
acnfnjhn-1,THY1+ MSC
acngbnel-1,THY1+ MSC
acnhcgel-1,Fibro-MSC
acnhkjmb-1,Pro-B
acnihdpa-1,Plasma Cell
acnijebd-1,Pro-B
acnjljdk-1,APOD+ MSC
acnkhfbp-1,Osteo-MSC
acnkjngk-1,HSC
acnledig-1,Neutrophil
acnnbbee-1,GMP
acnpcnhj-1,Late Myeloid
acnpdeli-1,Late Myeloid
acnpknli-1,THY1+ MSC
acodgflp-1,Monocyte
acohbblm-1,Neutrophil
acoicgnc-1,Neutrophil
acojkkji-1,CLP
acolgioj-1,Fibro-MSC
acomhdpg-1,MEP
acomnpbl-1,Mature B
aconappl-1,Ba/Eo/Ma
acoopieb-1,Late Myeloid
acpbjhei-1,Osteoblast
acpcmlll-1,RBC
acpfpfmm-1,VSMC
acpgfogo-1,Pre-Pro B
acphfpgo-1,RBC
acphjlmj-1,Pro-B
acpjgikp-1,CD4+ T-Cell
acpjhnnp-1,Late Myeloid
acpjlfha-1,MEP
acpkpeci-1,CD4+ T-Cell
acpobmhi-1,Fibro-MSC
acpomffc-1,CD8+ T-Cell
adabaddn-1,Mature B
adabcjjn-1,Fibro-MSC
adabelni-1,Osteoblast
adacjhdi-1,Adipo-MSC
adadhenl-1,Fibro-MSC
adaefhed-1,Ba/Eo/Ma
adagldfo-1,Plasma Cell
adagnhck-1,pDC
adagodin-1,Neutrophil
adajjfaj-1,Plasma Cell
adaklnkl-1,Cycling HSPC
adakolpo-1,RBC
adakpkdk-1,Pro-B
adamepdm-1,Early Myeloid Progenitor
adamimmi-1,Early Myeloid Progenitor
adamokoh-1,pDC
adanjkaf-1,Neutrophil
adaojcog-1,GMP
adbabkjk-1,Monocyte
adbccjke-1,CD4+ T-Cell
adbcgflo-1,Fibro-MSC
adbcifnb-1,Plasma Cell
adbechcp-1,Fibro-MSC
adbfpilf-1,RBC
adbgjhbp-1,CLP
adbgpbdn-1,MEP
adbhfhbl-1,AEC
adbhngci-1,Pre-Pro B
adbhpenj-1,THY1+ MSC
adbicabi-1,MEP
adbigjib-1,VSMC
adbkafge-1,Pre-Pro B
adbmdbgl-1,Mature B
adbmknma-1,APOD+ MSC
adbnjffb-1,MEP
adbnkebo-1,Adipo-MSC
adbofpbg-1,THY1+ MSC
adcbnped-1,Plasma Cell
adcdapnc-1,HSC
adcehdjj-1,RBC
adcgnllk-1,Ba/Eo/Ma
adcifggl-1,Osteoblast
adclcnog-1,Fibro-MSC
addafcgn-1,Pre-B
adddabkj-1,Osteo-MSC
addfphpf-1,GMP
addghdad-1,Cycling HSPC
addhoefd-1,THY1+ MSC
addignio-1,Adipo-MSC
addijgga-1,MEP
addjicmo-1,Plasma Cell
addlcejf-1,CD8+ T-Cell
addohghn-1,APOD+ MSC
addplbke-1,Late Myeloid
adeegacb-1,Early Myeloid Progenitor
adeenkgh-1,Monocyte
adeflncl-1,Plasma Cell
adegmoin-1,RBC
adeheeoh-1,Early Myeloid Progenitor
adejdfkf-1,Pro-B
adejgkmf-1,RBC
adejjgkj-1,Megakaryocyte
adejjhbl-1,SEC
adejkoan-1,Pro-B
adejmacc-1,SEC
adekgjbn-1,Macrophages
adeklmnm-1,THY1+ MSC
ademehok-1,Late Myeloid
ademolll-1,MEP
adempnbl-1,CD4+ T-Cell
adeoapbf-1,VSMC
adeopdko-1,Pro-B
adephabm-1,Osteoblast
adepjhcg-1,GMP
adepneia-1,Osteo-MSC
adfcjnel-1,THY1+ MSC
adfdacho-1,MEP
adfdjboa-1,GMP
